Date,Open,High,Low,Close,Adj Close
2019-09-30,9.11,9.21,9.1,9.16,7.847744
2019-10-01,9.19,9.24,8.87,8.9,7.624991
2019-10-02,8.85,8.86,8.44,8.61,7.376537
2019-10-03,8.55,8.71,8.45,8.71,7.462211
2019-10-04,8.72,8.76,8.66,8.74,7.487914
2019-10-07,8.7,8.79,8.61,8.68,7.436509
2019-10-08,8.65,8.66,8.5,8.54,7.316566
2019-10-09,8.61,8.64,8.56,8.56,7.333702
2019-10-10,8.58,8.65,8.52,8.62,7.385105
2019-10-11,8.73,8.87,8.73,8.78,7.522183
2019-10-14,8.82,8.84,8.76,8.82,7.556452
2019-10-15,8.84,9.1,8.78,9.07,7.770638
2019-10-16,9.11,9.19,9.06,9.07,7.770638
2019-10-17,9.12,9.14,9.03,9.11,7.804908
2019-10-18,9.09,9.32,9.09,9.29,7.959122
2019-10-21,9.19,9.24,9.01,9.03,7.863333
2019-10-22,9.01,9.14,8.96,9.07,7.898166
2019-10-23,9.01,9.21,8.97,9.21,8.020078
2019-10-24,8.87,8.89,8.55,8.6,7.488889
2019-10-25,8.67,8.75,8.62,8.72,7.593385
2019-10-28,8.76,8.76,8.58,8.61,7.497596
2019-10-29,8.59,8.71,8.59,8.64,7.523721
2019-10-30,8.64,8.64,8.52,8.54,7.436641
2019-10-31,8.58,8.6,8.5,8.59,7.480182
2019-11-01,8.64,8.93,8.64,8.89,7.741422
2019-11-04,8.93,9.05,8.93,9,7.83721
2019-11-05,9.02,9.15,9,9.02,7.854626
2019-11-06,9.05,9.05,8.89,8.92,7.767545
2019-11-07,8.96,9.01,8.88,8.89,7.741422
2019-11-08,8.9,9.04,8.82,9.04,7.872041
2019-11-11,8.95,9.1,8.94,9.08,7.906872
2019-11-12,9.06,9.13,9.04,9.04,7.872041
2019-11-13,9,9,8.8,8.81,7.671757
2019-11-14,8.85,8.91,8.78,8.79,7.654342
2019-11-15,8.85,8.96,8.85,8.95,7.793669
2019-11-18,9.05,9.05,8.89,8.95,7.793669
2019-11-19,8.99,9,8.87,8.9,7.750128
2019-11-20,8.88,8.89,8.68,8.73,7.602092
2019-11-21,8.77,8.79,8.67,8.71,7.584676
2019-11-22,8.8,8.9,8.77,8.89,7.741422
2019-11-25,8.9,9.01,8.87,9,7.83721
2019-11-26,8.98,9.02,8.91,9.01,7.845918
2019-11-27,9.03,9.15,9.02,9.1,7.924289
2019-11-29,9.04,9.1,9.03,9.06,7.889458
2019-12-02,9.08,9.14,9,9.01,7.845918
2019-12-03,8.95,8.95,8.8,8.89,7.741422
2019-12-04,8.95,9.03,8.94,8.95,7.793669
2019-12-05,8.97,9,8.88,8.93,7.776253
2019-12-06,8.96,9.07,8.95,9.02,7.854626
2019-12-09,8.97,9.07,8.96,9.01,7.845918
2019-12-10,9.02,9.1,8.96,9.07,7.898166
2019-12-11,9.06,9.14,9.06,9.11,7.932998
2019-12-12,9.11,9.36,9.11,9.32,8.115866
2019-12-13,9.32,9.39,9.19,9.23,8.037494
2019-12-16,9.24,9.39,9.22,9.39,8.176822
2019-12-17,9.38,9.41,9.31,9.39,8.176822
2019-12-18,9.39,9.57,9.36,9.54,8.307443
2019-12-19,9.55,9.57,9.38,9.41,8.194238
2019-12-20,9.5,9.54,9.44,9.48,8.255193
2019-12-23,9.5,9.57,9.4,9.44,8.220363
2019-12-24,9.44,9.49,9.43,9.47,8.246487
2019-12-26,9.47,9.49,9.43,9.45,8.22907
2019-12-27,9.45,9.46,9.35,9.36,8.150697
2019-12-30,9.34,9.35,9.23,9.25,8.054909
2019-12-31,9.25,9.33,9.25,9.3,8.09845
2020-01-02,9.29,9.42,9.19,9.42,8.202947
2020-01-03,9.31,9.37,9.15,9.21,8.020078
2020-01-06,9.1,9.17,9.06,9.16,7.976537
2020-01-07,9.2,9.25,9.12,9.25,8.054909
2020-01-08,9.23,9.3,9.17,9.25,8.054909
2020-01-09,9.3,9.31,9.18,9.26,8.063617
2020-01-10,9.27,9.36,9.25,9.25,8.054909
2020-01-13,9.25,9.26,9.11,9.24,8.046201
2020-01-14,9.22,9.33,9.21,9.29,8.089743
2020-01-15,9.27,9.3,9.18,9.19,8.00266
2020-01-16,9.23,9.28,9.15,9.17,7.985245
2020-01-17,9.19,9.23,9.13,9.16,7.976537
2020-01-21,9.15,9.22,9.1,9.21,8.020078
