Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,13,73,1,87
 Baja California,BC,Noroeste,291,2279,111,2681
 Baja California Sur,BS,Noroeste,15,74,0,89
 Campeche,CM,Sureste,13,95,2,110
 Coahuila de Zaragoza,CO,Noreste,26,143,0,169
 Colima,CL,Occidente,110,755,2,867
 Chiapas,CS,Sureste,65,432,2,499
 Chihuahua,CH,Noroeste,237,1776,3,2016
 CDMX,CX,Centro-Sur,107,635,0,742
 Durango,DG,Noroeste,25,100,0,125
 Guanajuato,GT,Noreste,568,3408,280,4256
 Guerrero,GR,Centro-Sur,133,1226,19,1378
 Hidalgo,HG,Occidente,57,314,9,380
 Jalisco,JC,Noroeste,203,1639,3,1845
 Mexico,EM,Occidente,490,2725,11,3226
 Michoacan,MI,Occidente,241,2044,7,2292
 Morelos,MO,Centro-Sur,109,1040,0,1149
 Nayarit,NA,Noroeste,16,169,1,186
 Nuevo Leon,NL,Noreste,150,1240,1,1391
 Oaxaca,OA,Sureste,114,626,0,740
 Puebla,PU,Centro-Sur,123,923,15,1061
 Queretaro,QT,Noreste,26,161,0,187
 Quintana Roo,QR,Sureste,62,573,0,635
 San Luis Potosi,SL,Noreste,62,687,2,751
 Sinaloa,SI,Noroeste,37,515,6,558
 Sonora,SO,Noroeste,142,1521,60,1723
 Tabasco,TB,Sureste,42,292,0,334
 Tamaulipas,TM,Noreste,53,373,41,467
 Tlaxcala,TL,Centro-Sur,14,138,0,152
 Veracruz,VE,Sureste,86,555,0,641
 Yucatan,YU,Sureste,7,47,0,54
 Zacatecas,ZA,Noreste,163,1261,8,1432
