fecha,tipo_ingreso,linea,ingreso
2022-01-01,Boletos,Línea 1,324825
2022-01-01,,,
2022-01-01,,,180225
2022-01-01,Boletos,Línea 4,
2022-01-01,,Línea 5,134725
2022-01-01,Boletos,,
2022-01-01,Boletos,,88100
2022-01-01,Boletos,Línea 8,
2022-01-01,,Línea 9,89325
2022-01-01,Boletos,Línea A,163450
2022-01-01,Boletos,,
2022-01-01,Boletos,Línea 12,
2022-01-01,Recargas,Línea 1,439332.5
2022-01-01,Recargas,Línea 2,369354.8
2022-01-01,Recargas,Línea 3,347269.8
2022-01-01,Recargas,Línea 4,42479
2022-01-01,Recargas,Línea 5,182709
2022-01-01,Recargas,Línea 6,46450
2022-01-01,Recargas,Línea 7,125676
2022-01-01,Recargas,Línea 8,371191.5
2022-01-01,Recargas,Línea 9,241842.5
2022-01-01,Recargas,Línea A,277594.7
2022-01-01,Recargas,Línea B,477216.2
2022-01-01,,,
2022-01-01,Tarjetas,Línea 1,6105
2022-01-01,Tarjetas,Línea 2,5490
2022-01-01,Tarjetas,Línea 3,3930
2022-01-01,Tarjetas,Línea 4,255
2022-01-01,Tarjetas,Línea 5,2730
2022-01-01,Tarjetas,Línea 6,495
2022-01-01,Tarjetas,Línea 7,1215
2022-01-01,Tarjetas,Línea 8,4200
2022-01-01,Tarjetas,Línea 9,1680
2022-01-01,Tarjetas,Línea A,2520
2022-01-01,Tarjetas,Línea B,3885
2022-01-01,Tarjetas,Línea 12,0
2022-01-01,QR/Validación,Línea 1,0
2022-01-01,QR/Validación,Línea 2,0
2022-01-01,QR/Validación,Línea 3,0
2022-01-01,QR/Validación,Línea 4,0
2022-01-01,QR/Validación,Línea 5,0
2022-01-01,,Línea 6,0
2022-01-01,QR/Validación,Línea 7,0
2022-01-01,QR/Validación,Línea 8,0
2022-01-01,QR/Validación,,2345
2022-01-01,QR/Validación,Línea A,0
2022-01-01,QR/Validación,Línea B,0
2022-01-01,QR/Validación,Línea 12,0
2022-01-02,Boletos,Línea 1,676425
2022-01-02,Boletos,Línea 2,549225
2022-01-02,Boletos,Línea 3,
2022-01-02,Boletos,Línea 4,81295
2022-01-02,Boletos,Línea 5,203750
2022-01-02,Boletos,Línea 6,76750
2022-01-02,Boletos,Línea 7,149300
2022-01-02,Boletos,Línea 8,270825
2022-01-02,Boletos,Línea 9,145345
2022-01-02,Boletos,Línea A,247625
2022-01-02,Boletos,Línea B,504700
2022-01-02,Boletos,Línea 12,0
2022-01-02,Recargas,Línea 1,663454.7
2022-01-02,Recargas,Línea 2,710573.5
2022-01-02,Recargas,Línea 3,690493.7
2022-01-02,Recargas,Línea 4,86247
2022-01-02,Recargas,Línea 5,256079.2
2022-01-02,Recargas,Línea 6,114762
2022-01-02,Recargas,Línea 7,273876.9
2022-01-02,Recargas,Línea 8,480295
2022-01-02,Recargas,Línea 9,279403.2
2022-01-02,Recargas,Línea A,318909
2022-01-02,Recargas,Línea B,606086.8
2022-01-02,Recargas,Línea 12,0
2022-01-02,Tarjetas,Línea 1,10200
2022-01-02,Tarjetas,Línea 2,9915
2022-01-02,Tarjetas,Línea 3,9615
2022-01-02,Tarjetas,Línea 4,615
2022-01-02,Tarjetas,Línea 5,3240
2022-01-02,Tarjetas,Línea 6,1425
2022-01-02,Tarjetas,Línea 7,2745
2022-01-02,Tarjetas,Línea 8,4815
2022-01-02,Tarjetas,Línea 9,2295
2022-01-02,Tarjetas,Línea A,3450
2022-01-02,Tarjetas,Línea B,5880
2022-01-02,Tarjetas,Línea 12,0
2022-01-02,QR/Validación,Línea 1,0
2022-01-02,,,
2022-01-02,QR/Validación,Línea 3,0
2022-01-02,QR/Validación,Línea 4,
2022-01-02,QR/Validación,Línea 5,0
2022-01-02,QR/Validación,Línea 6,0
2022-01-02,QR/Validación,Línea 7,0
2022-01-02,QR/Validación,Línea 8,
2022-01-02,,,3325
2022-01-02,QR/Validación,Línea A,0
2022-01-02,QR/Validación,Línea B,0
2022-01-02,QR/Validación,,0
2022-01-03,Boletos,,938575
2022-01-03,Boletos,,808275
2022-01-03,Boletos,,
2022-01-03,Boletos,,121150
2022-01-03,Boletos,,282900
2022-01-03,Boletos,,117350
2022-01-03,Boletos,,262275
2022-01-03,Boletos,,440375
2022-01-03,Boletos,,281905
2022-01-03,Boletos,,381675
2022-01-03,Boletos,,661750
2022-01-03,Boletos,,0
2022-01-03,Recargas,,1474051.5
2022-01-03,Recargas,,1492018.7
2022-01-03,Recargas,,1593124.3
2022-01-03,Recargas,,195290
2022-01-03,Recargas,,478196.4
2022-01-03,Recargas,,329932.7
2022-01-03,Recargas,,816903
2022-01-03,,,1110141.7
2022-01-03,,Línea 9,750984.9
2022-01-03,,Línea A,740932.3
2022-01-03,,Línea B,1186494.5
2022-01-03,,Línea 12,0
2022-01-03,,Línea 1,17040
2022-01-03,,Línea 2,14775
2022-01-03,,Línea 3,14295
2022-01-03,,Línea 4,900
2022-01-03,,Línea 5,3885
2022-01-03,,Línea 6,1905
2022-01-03,,Línea 7,5850
2022-01-03,,Línea 8,8190
2022-01-03,,Línea 9,4980
2022-01-03,,Línea A,6165
2022-01-03,,Línea B,8790
2022-01-03,,Línea 12,0
2022-01-03,,Línea 1,0
2022-01-03,,Línea 2,0
