Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,10410,10796,0,21206
 Baja California,BC,Noroeste,29944,30732,0,60676
 Baja California Sur,BS,Noroeste,5396,5732,0,11128
 Campeche,CM,Sureste,6841,7049,0,13890
 Coahuila de Zaragoza,CO,Noreste,22835,23471,0,46306
 Colima,CL,Occidente,4404,4721,0,9125
 Chiapas,CS,Sureste,72880,78684,0,151564
 Chihuahua,CH,Noroeste,25458,26231,0,51689
 CDMX,CX,Centro-Sur,43610,44789,0,88399
 Durango,DG,Noroeste,14859,15248,0,30107
 Guanajuato,GT,Noreste,48392,49754,0,98146
 Guerrero,GR,Centro-Sur,35840,36055,0,71895
 Hidalgo,HG,Occidente,18724,19246,0,37970
 Jalisco,JC,Noroeste,64423,66707,0,131130
 Mexico,EM,Occidente,108808,111544,1,220353
 Michoacan,MI,Occidente,39561,41152,0,80713
 Morelos,MO,Centro-Sur,13088,13845,0,26933
 Nayarit,NA,Noroeste,8934,9251,0,18185
 Nuevo Leon,NL,Noreste,40669,41790,0,82459
 Oaxaca,OA,Sureste,29186,30090,0,59276
 Puebla,PU,Centro-Sur,55168,57153,0,112321
 Queretaro,QT,Noreste,15950,16443,0,32393
 Quintana Roo,QR,Sureste,13294,13792,0,27086
 San Luis Potosi,SL,Noreste,20853,21558,0,42411
 Sinaloa,SI,Noroeste,22856,23813,0,46669
 Sonora,SO,Noroeste,18983,19390,0,38373
 Tabasco,TB,Sureste,19404,20193,0,39597
 Tamaulipas,TM,Noreste,23177,24110,0,47287
 Tlaxcala,TL,Centro-Sur,9653,9964,1,19618
 Veracruz,VE,Sureste,53782,55329,0,109111
 Yucatan,YU,Sureste,13829,14103,0,27932
 Zacatecas,ZA,Noreste,13368,13402,0,26770
